  I  J
------
  1  4
  5  4
  9  4
 13  4
 17  4
 21  4
 25  4
 29  4
 33  4
 37  4
 41  4
 45  4
 49  4
 53  4
 57  4
 61  4
 65  4
 69  4
 73  4
 77  4
 81  4
 85  4
 89  4
 93  4
  1  8
  5  8
  9  8
 13  8
 17  8
 21  8
 25  8
 29  8
 33  8
 37  8
 41  8
 45  8
 49  8
 53  8
 57  8
 61  8
 65  8
 69  8
 73  8
 77  8
 81  8
 85  8
 89  8
 93  8
  1 12
  5 12
  9 12
 13 12
 17 12
 21 12
 25 12
 29 12
 33 12
 37 12
 41 12
 45 12
 49 12
 53 12
 57 12
 61 12
 65 12
 69 12
 73 12
 77 12
 81 12
 85 12
 89 12
 93 12
  1 16
  5 16
  9 16
 13 16
 17 16
 21 16
 25 16
 29 16
 33 16
 37 16
 41 16
 45 16
 49 16
 53 16
 57 16
 61 16
 65 16
 69 16
 73 16
 77 16
 81 16
 85 16
 89 16
 93 16
  1 20
  5 20
  9 20
 13 20
 17 20
 21 20
 25 20
 29 20
 33 20
 37 20
 41 20
 45 20
 49 20
 53 20
 57 20
 61 20
 65 20
 69 20
 73 20
 77 20
 81 20
 85 20
 89 20
 93 20
  1 24
  5 24
  9 24
 13 24
 17 24
 21 24
 25 24
 29 24
 33 24
 37 24
 41 24
 45 24
 49 24
 53 24
 57 24
 61 24
 65 24
 69 24
 73 24
 77 24
 81 24
 85 24
 89 24
 93 24
  1 28
  5 28
  9 28
 13 28
 17 28
 21 28
 25 28
 29 28
 33 28
 37 28
 41 28
 45 28
 49 28
 53 28
 57 28
 61 28
 65 28
 69 28
 73 28
 77 28
 81 28
 85 28
 89 28
 93 28
  1 32
  5 32
  9 32
 13 32
 17 32
 21 32
 25 32
 29 32
 33 32
 37 32
 41 32
 45 32
 49 32
 53 32
 57 32
 61 32
 65 32
 69 32
 73 32
 77 32
 81 32
 85 32
 89 32
 93 32
  1 36
  5 36
  9 36
 13 36
 17 36
 21 36
 25 36
 29 36
 33 36
 37 36
 41 36
 45 36
 49 36
 53 36
 57 36
 61 36
 65 36
 69 36
 73 36
 77 36
 81 36
 85 36
 89 36
 93 36
  1 40
  5 40
  9 40
 13 40
 17 40
 21 40
 25 40
 29 40
 33 40
 37 40
 41 40
 45 40
 49 40
 53 40
 57 40
 61 40
 65 40
 69 40
 73 40
 77 40
 81 40
 85 40
 89 40
 93 40
  1 44
  5 44
  9 44
 13 44
 17 44
 21 44
 25 44
 29 44
 33 44
 37 44
 41 44
 45 44
 49 44
 53 44
 57 44
 61 44
 65 44
 69 44
 73 44
 77 44
 81 44
 85 44
 89 44
 93 44
